Player,College,Height,Weight,College_Rec,College_Yards,College_TDs,YPG,Scenario,Draft_Round,RF_Pred_AV,XGB_Pred_AV,Avg_Pred_AV,Production_Score
Octavian Smith Jr.,Maryland,72.0,182.0,42.0,530.0,8.0,44.2,Round 1 (Elite Picks 1-32),1,13.5,5.3,9.4,56.0
Johntay Cook,Syracuse,72.0,198.0,42.0,518.0,7.0,47.1,Round 1 (Elite Picks 1-32),1,11.5,5.3,8.4,55.33
Brock Spalding,East Carolina,71.0,193.0,41.0,555.0,8.0,42.7,Round 1 (Elite Picks 1-32),1,12.5,5.3,8.9,55.199999999999996
Shazz Preston,Tulane,72.0,206.0,40.0,584.0,8.0,41.7,Round 1 (Elite Picks 1-32),1,17.2,5.3,11.2,54.690000000000005
Jahmal Edrine,Virginia,75.0,221.0,44.0,549.0,8.0,39.2,Round 1 (Elite Picks 1-32),1,22.4,21.1,21.7,54.29
Jalil Farooq,Maryland,74.0,213.0,52.0,471.0,7.0,39.2,Round 1 (Elite Picks 1-32),1,40.9,29.9,35.4,53.910000000000004
Cayden Lee,Ole Miss,71.0,175.0,42.0,581.0,8.0,38.7,Round 1 (Elite Picks 1-32),1,13.0,5.3,9.1,53.76
Le'Meke Brockington,Minnesota,72.0,195.0,44.0,478.0,7.0,43.5,Round 1 (Elite Picks 1-32),1,26.6,21.0,23.8,53.730000000000004
Miles Coleman,North Texas,66.0,159.0,46.0,499.0,7.0,41.6,Round 1 (Elite Picks 1-32),1,7.8,4.1,5.9,53.59
CJ Daniels,Miami,74.0,205.0,45.0,464.0,7.0,42.2,Round 1 (Elite Picks 1-32),1,26.6,21.3,24.0,53.24
Zion Booker,Tulsa,70.0,185.0,42.0,392.0,6.0,49.0,Round 1 (Elite Picks 1-32),1,6.0,4.1,5.1,53.019999999999996
DeAree Rogers,Northern Illinois,71.0,200.0,45.0,492.0,7.0,41.0,Round 1 (Elite Picks 1-32),1,7.1,4.1,5.6,52.92
Kwazi Gilmer,UCLA,74.0,190.0,47.0,475.0,7.0,39.6,Round 1 (Elite Picks 1-32),1,6.6,4.1,5.3,52.650000000000006
David Wells Jr.,Oregon State,73.0,183.0,42.0,468.0,7.0,42.5,Round 1 (Elite Picks 1-32),1,6.2,4.1,5.1,52.53
Cam Pickett,Kansas,72.0,200.0,45.0,462.0,7.0,38.5,Round 1 (Elite Picks 1-32),1,12.3,5.3,8.8,51.370000000000005
